b'32.914380,-117.100148,2022-7-29 21:34:44,27.81,1044.80,18.12\r,1,0\r\n'
b'32.914380,-117.100148,2022-7-29 21:34:44,27.81,1061.44,18.26\r,1,0\r\n'
b'32.914380,-117.100148,2022-7-29 21:34:44,27.88,1049.50,18.07\r,1,0\r\n'
b'32.914410,-117.100127,2022-7-29 21:34:50,27.81,1054.21,17.88\r,1,0\r\n'
b'32.914441,-117.100108,2022-7-29 21:34:56,27.75,1058.93,18.07\r,1,0\r\n'
b'32.914452,-117.100101,2022-7-29 21:34:58,27.75,1063.67,17.86\r,1,0\r\n'
b'32.914462,-117.100096,2022-7-29 21:35:00,27.75,1050.74,18.03\r,1,0\r\n'
b'32.914473,-117.100092,2022-7-29 21:35:02,27.75,1064.92,18.06\r,1,0\r\n'
b'32.914473,-117.100092,2022-7-29 21:35:02,27.75,1055.45,17.80\r,1,0\r\n'
b'32.914504,-117.100077,2022-7-29 21:35:08,27.75,1048.52,18.01\r,1,0\r\n'
b'32.914519,-117.100068,2022-7-29 21:35:12,27.69,1050.74,17.87\r,1,0\r\n'
b'32.914519,-117.100068,2022-7-29 21:35:12,27.81,1047.27,17.99\r,1,0\r\n'
b'32.914535,-117.100052,2022-7-29 21:35:16,27.81,1035.44,17.66\r,1,0\r\n'
b'32.914535,-117.100052,2022-7-29 21:35:16,27.81,1047.27,18.12\r,1,0\r\n'
b'32.914544,-117.100031,2022-7-29 21:35:20,27.88,1044.80,17.84\r,1,0\r\n'
b'32.914544,-117.100031,2022-7-29 21:35:20,27.81,1050.74,17.86\r,1,0\r\n'
b'32.914544,-117.100031,2022-7-29 21:35:20,27.81,1046.04,17.70\r,1,0\r\n'
b'32.914514,-117.100034,2022-7-29 21:35:26,27.81,1050.74,17.68\r,1,0\r\n'
b'32.914506,-117.100045,2022-7-29 21:35:28,27.81,1046.04,17.78\r,1,0\r\n'
b'32.914498,-117.100051,2022-7-29 21:35:30,27.75,1064.92,17.60\r,1,0\r\n'
b'32.914487,-117.100052,2022-7-29 21:35:32,27.81,1049.50,17.74\r,1,0\r\n'
b'32.914477,-117.100055,2022-7-29 21:35:34,27.75,1055.45,18.05\r,1,0\r\n'
b'32.914467,-117.100058,2022-7-29 21:35:36,27.75,1058.93,17.66\r,1,0\r\n'
b'32.914457,-117.100059,2022-7-29 21:35:38,27.88,1049.50,17.81\r,1,0\r\n'
b'32.914457,-117.100059,2022-7-29 21:35:38,27.75,1063.67,17.78\r,1,0\r\n'
b'32.914425,-117.100056,2022-7-29 21:35:44,27.81,1049.50,18.02\r,1,0\r\n'
b'32.914406,-117.100055,2022-7-29 21:35:48,27.81,1054.21,17.79\r,1,0\r\n'
